"p2"	"p31"	"p32"	"p33"	"arc_length"
0.00000e+00	4.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
0.00000e+00	3.99205e+00	0.00000e+00	0.00000e+00	1.73203e-01
0.00000e+00	3.98411e+00	0.00000e+00	0.00000e+00	3.46407e-01
0.00000e+00	3.97616e+00	0.00000e+00	0.00000e+00	5.19619e-01
0.00000e+00	3.96822e+00	0.00000e+00	0.00000e+00	6.92822e-01
0.00000e+00	3.96027e+00	0.00000e+00	0.00000e+00	8.66025e-01
0.00000e+00	3.95233e+00	0.00000e+00	0.00000e+00	1.03923e+00
0.00000e+00	3.94438e+00	0.00000e+00	0.00000e+00	1.21243e+00
0.00000e+00	3.93644e+00	0.00000e+00	0.00000e+00	1.38564e+00
0.00000e+00	3.92849e+00	0.00000e+00	0.00000e+00	1.55885e+00
0.00000e+00	3.92055e+00	0.00000e+00	0.00000e+00	1.73205e+00
0.00000e+00	3.91260e+00	0.00000e+00	0.00000e+00	1.90525e+00
0.00000e+00	3.90466e+00	0.00000e+00	0.00000e+00	2.07846e+00
0.00000e+00	3.89671e+00	0.00000e+00	0.00000e+00	2.25167e+00
0.00000e+00	3.88876e+00	0.00000e+00	0.00000e+00	2.42487e+00
0.00000e+00	3.88082e+00	0.00000e+00	0.00000e+00	2.59808e+00
0.00000e+00	3.87287e+00	0.00000e+00	0.00000e+00	2.77128e+00
0.00000e+00	3.86493e+00	0.00000e+00	0.00000e+00	2.94448e+00
0.00000e+00	3.85698e+00	0.00000e+00	0.00000e+00	3.11769e+00
0.00000e+00	3.84904e+00	0.00000e+00	0.00000e+00	3.29090e+00
0.00000e+00	3.84109e+00	0.00000e+00	0.00000e+00	3.46410e+00
0.00000e+00	3.83315e+00	0.00000e+00	0.00000e+00	3.63730e+00
0.00000e+00	3.82520e+00	0.00000e+00	0.00000e+00	3.81051e+00
0.00000e+00	3.81726e+00	0.00000e+00	0.00000e+00	3.98372e+00
0.00000e+00	3.80931e+00	0.00000e+00	0.00000e+00	4.15692e+00
0.00000e+00	3.80137e+00	0.00000e+00	0.00000e+00	4.33013e+00
0.00000e+00	3.79338e+00	0.00000e+00	0.00000e+00	4.50333e+00
0.00000e+00	3.78465e+00	0.00000e+00	0.00000e+00	4.67653e+00
0.00000e+00	3.77601e+00	0.00000e+00	0.00000e+00	4.84975e+00
0.00000e+00	3.76790e+00	0.00000e+00	0.00000e+00	5.02295e+00
0.00000e+00	3.75978e+00	0.00000e+00	0.00000e+00	5.19615e+00
0.00000e+00	3.75166e+00	0.00000e+00	0.00000e+00	5.36936e+00
0.00000e+00	3.74354e+00	0.00000e+00	0.00000e+00	5.54256e+00
0.00000e+00	3.73543e+00	0.00000e+00	0.00000e+00	5.71577e+00
0.00000e+00	3.72731e+00	0.00000e+00	0.00000e+00	5.88897e+00
0.00000e+00	3.71919e+00	0.00000e+00	0.00000e+00	6.06218e+00
0.00000e+00	3.71108e+00	0.00000e+00	0.00000e+00	6.23538e+00
0.00000e+00	3.70296e+00	0.00000e+00	0.00000e+00	6.40858e+00
0.00000e+00	3.69484e+00	0.00000e+00	0.00000e+00	6.58180e+00
0.00000e+00	3.68672e+00	0.00000e+00	0.00000e+00	6.75500e+00
0.00000e+00	3.67861e+00	0.00000e+00	0.00000e+00	6.92820e+00
0.00000e+00	3.67049e+00	0.00000e+00	0.00000e+00	7.10141e+00
0.00000e+00	3.66237e+00	0.00000e+00	0.00000e+00	7.27461e+00
0.00000e+00	3.65425e+00	0.00000e+00	0.00000e+00	7.44782e+00
0.00000e+00	3.64614e+00	0.00000e+00	0.00000e+00	7.62103e+00
0.00000e+00	3.63802e+00	0.00000e+00	0.00000e+00	7.79423e+00
0.00000e+00	3.62955e+00	0.00000e+00	0.00000e+00	7.96743e+00
0.00000e+00	3.62100e+00	0.00000e+00	0.00000e+00	8.14064e+00
0.00000e+00	3.61246e+00	0.00000e+00	0.00000e+00	8.31385e+00
0.00000e+00	3.60391e+00	0.00000e+00	0.00000e+00	8.48705e+00
0.00000e+00	3.59556e+00	0.00000e+00	0.00000e+00	8.66025e+00
0.00000e+00	3.58734e+00	0.00000e+00	0.00000e+00	8.83346e+00
0.00000e+00	3.57913e+00	0.00000e+00	0.00000e+00	9.00666e+00
0.00000e+00	3.57091e+00	0.00000e+00	0.00000e+00	9.17987e+00
0.00000e+00	3.56270e+00	0.00000e+00	0.00000e+00	9.35308e+00
0.00000e+00	3.55448e+00	0.00000e+00	0.00000e+00	9.52628e+00
0.00000e+00	3.54627e+00	0.00000e+00	0.00000e+00	9.69948e+00
0.00000e+00	3.53805e+00	0.00000e+00	0.00000e+00	9.87269e+00
0.00000e+00	3.52890e+00	0.00000e+00	0.00000e+00	1.00459e+01
0.00000e+00	3.51966e+00	0.00000e+00	0.00000e+00	1.02191e+01
0.00000e+00	3.51043e+00	0.00000e+00	0.00000e+00	1.03923e+01
0.00000e+00	3.50120e+00	0.00000e+00	0.00000e+00	1.05655e+01
0.00000e+00	3.49196e+00	0.00000e+00	0.00000e+00	1.07387e+01
0.00000e+00	3.48273e+00	0.00000e+00	0.00000e+00	1.09119e+01
0.00000e+00	3.47349e+00	0.00000e+00	0.00000e+00	1.10851e+01
0.00000e+00	3.46426e+00	0.00000e+00	0.00000e+00	1.12583e+01
0.00000e+00	3.45503e+00	0.00000e+00	0.00000e+00	1.14315e+01
0.00000e+00	3.44579e+00	0.00000e+00	0.00000e+00	1.16047e+01
0.00000e+00	3.43656e+00	0.00000e+00	0.00000e+00	1.17779e+01
0.00000e+00	3.42732e+00	0.00000e+00	0.00000e+00	1.19512e+01
0.00000e+00	3.41809e+00	0.00000e+00	0.00000e+00	1.21244e+01
0.00000e+00	3.40886e+00	0.00000e+00	0.00000e+00	1.22976e+01
0.00000e+00	3.39962e+00	0.00000e+00	0.00000e+00	1.24708e+01
0.00000e+00	3.39039e+00	0.00000e+00	0.00000e+00	1.26440e+01
0.00000e+00	3.38115e+00	0.00000e+00	0.00000e+00	1.28172e+01
0.00000e+00	3.37192e+00	0.00000e+00	0.00000e+00	1.29904e+01
0.00000e+00	3.36269e+00	0.00000e+00	0.00000e+00	1.31636e+01
0.00000e+00	3.35281e+00	0.00000e+00	0.00000e+00	1.33368e+01
0.00000e+00	3.34243e+00	0.00000e+00	0.00000e+00	1.35100e+01
0.00000e+00	3.33206e+00	0.00000e+00	0.00000e+00	1.36832e+01
0.00000e+00	3.32141e+00	0.00000e+00	0.00000e+00	1.38564e+01
0.00000e+00	3.31330e+00	0.00000e+00	0.00000e+00	1.40296e+01
0.00000e+00	3.30613e+00	0.00000e+00	0.00000e+00	1.42028e+01
0.00000e+00	3.29897e+00	0.00000e+00	0.00000e+00	1.43760e+01
0.00000e+00	3.29157e+00	0.00000e+00	0.00000e+00	1.45492e+01
0.00000e+00	3.28444e+00	0.00000e+00	0.00000e+00	1.47224e+01
0.00000e+00	3.27704e+00	0.00000e+00	0.00000e+00	1.48956e+01
0.00000e+00	3.26964e+00	0.00000e+00	0.00000e+00	1.50688e+01
0.00000e+00	3.26224e+00	0.00000e+00	0.00000e+00	1.52421e+01
0.00000e+00	3.25485e+00	0.00000e+00	0.00000e+00	1.54153e+01
0.00000e+00	3.24745e+00	0.00000e+00	0.00000e+00	1.55885e+01
0.00000e+00	3.24005e+00	0.00000e+00	0.00000e+00	1.57617e+01
0.00000e+00	3.23265e+00	0.00000e+00	0.00000e+00	1.59349e+01
0.00000e+00	3.22526e+00	0.00000e+00	0.00000e+00	1.61081e+01
0.00000e+00	3.21786e+00	0.00000e+00	0.00000e+00	1.62813e+01
0.00000e+00	3.21046e+00	0.00000e+00	0.00000e+00	1.64545e+01
0.00000e+00	3.20306e+00	0.00000e+00	0.00000e+00	1.66277e+01
0.00000e+00	3.19567e+00	0.00000e+00	0.00000e+00	1.68009e+01
0.00000e+00	3.18827e+00	0.00000e+00	0.00000e+00	1.69741e+01
0.00000e+00	3.18087e+00	0.00000e+00	0.00000e+00	1.71473e+01
0.00000e+00	3.17347e+00	0.00000e+00	0.00000e+00	1.73205e+01
0.00000e+00	3.16608e+00	0.00000e+00	0.00000e+00	1.74937e+01
0.00000e+00	3.15868e+00	0.00000e+00	0.00000e+00	1.76669e+01
0.00000e+00	3.15128e+00	0.00000e+00	0.00000e+00	1.78401e+01
0.00000e+00	3.14388e+00	0.00000e+00	0.00000e+00	1.80133e+01
0.00000e+00	3.13649e+00	0.00000e+00	0.00000e+00	1.81865e+01
0.00000e+00	3.12909e+00	0.00000e+00	0.00000e+00	1.83597e+01
0.00000e+00	3.12169e+00	0.00000e+00	0.00000e+00	1.85329e+01
0.00000e+00	3.11429e+00	0.00000e+00	0.00000e+00	1.87062e+01
0.00000e+00	3.10689e+00	0.00000e+00	0.00000e+00	1.88794e+01
0.00000e+00	3.09950e+00	0.00000e+00	0.00000e+00	1.90526e+01
0.00000e+00	3.09210e+00	0.00000e+00	0.00000e+00	1.92258e+01
0.00000e+00	3.08470e+00	0.00000e+00	0.00000e+00	1.93990e+01
0.00000e+00	3.07730e+00	0.00000e+00	0.00000e+00	1.95722e+01
0.00000e+00	3.06991e+00	0.00000e+00	0.00000e+00	1.97454e+01
0.00000e+00	3.06251e+00	0.00000e+00	0.00000e+00	1.99186e+01
0.00000e+00	3.05511e+00	0.00000e+00	0.00000e+00	2.00918e+01
0.00000e+00	3.04764e+00	0.00000e+00	0.00000e+00	2.02650e+01
0.00000e+00	3.04012e+00	0.00000e+00	0.00000e+00	2.04382e+01
0.00000e+00	3.03516e+00	0.00000e+00	0.00000e+00	2.06114e+01
0.00000e+00	3.02950e+00	0.00000e+00	0.00000e+00	2.07846e+01
0.00000e+00	3.02375e+00	0.00000e+00	0.00000e+00	2.09578e+01
0.00000e+00	3.01796e+00	0.00000e+00	0.00000e+00	2.11310e+01
0.00000e+00	3.01217e+00	0.00000e+00	0.00000e+00	2.13042e+01
0.00000e+00	3.00637e+00	0.00000e+00	0.00000e+00	2.14774e+01
0.00000e+00	3.00058e+00	0.00000e+00	0.00000e+00	2.16506e+01
